TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-16 13:51:00,1768571460348,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,,nxvb5-1768571460289-a878e4c2408c,vercel-screenshot/1.0,warning,production,main,,serverless,,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,,,,,CORS blocked for origin: https://fantasy-luxe-frontend-nhzj23c6t-fortunes-projects-1d583b48.vercel.app,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:51:00,1768571460348,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,,nxvb5-1768571460289-a878e4c2408c,vercel-screenshot/1.0,error,production,main,,serverless,,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,,,,,Error undefined,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:51:00,1768571460289,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,,nxvb5-1768571460289-a878e4c2408c,vercel-screenshot/1.0,,production,main,,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,11,iad1,314,2048,,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,01KF3H5PQ4G9FCWPNETS5DEXAX,i5kd7rJfuWtD,1
2026-01-16 13:51:00,1768571460359,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,76gk2-1768571460289-9b5f28283afb,vercel-screenshot/1.0,warning,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,,,,,CORS blocked for origin: https://fantasy-luxe-frontend-nhzj23c6t-fortunes-projects-1d583b48.vercel.app,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:51:00,1768571460360,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,76gk2-1768571460289-9b5f28283afb,vercel-screenshot/1.0,error,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,,,,,Error undefined,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:51:00,1768571460289,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,76gk2-1768571460289-9b5f28283afb,vercel-screenshot/1.0,,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,7,iad1,314,2048,,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,01KF3H5PQ4G9FCWPNETRJDM74V,i5kd7rJfuWtD,1
2026-01-16 13:51:00,1768571460328,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,,hjwmn-1768571460200-d1a819229204,vercel-screenshot/1.0,warning,production,main,,serverless,,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,,,,,CORS blocked for origin: https://fantasy-luxe-frontend-nhzj23c6t-fortunes-projects-1d583b48.vercel.app,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:51:00,1768571460329,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,,hjwmn-1768571460200-d1a819229204,vercel-screenshot/1.0,error,production,main,,serverless,,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,,,,,Error undefined,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:51:00,1768571460200,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,,hjwmn-1768571460200-d1a819229204,vercel-screenshot/1.0,,production,main,,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,13,iad1,314,2048,,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,01KF3H5PPH2RXGEZRDASS9CX42,i5kd7rJfuWtD,1
2026-01-16 13:51:00,1768571460236,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,lvnz4-1768571460178-fc4bdcd00726,vercel-screenshot/1.0,warning,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,,,,,CORS blocked for origin: https://fantasy-luxe-frontend-nhzj23c6t-fortunes-projects-1d583b48.vercel.app,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:51:00,1768571460236,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,lvnz4-1768571460178-fc4bdcd00726,vercel-screenshot/1.0,error,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,,,,,Error undefined,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:51:00,1768571460178,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,lvnz4-1768571460178-fc4bdcd00726,vercel-screenshot/1.0,,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_CwgGFaAuKUrdPJLu92y3yQxjZtd9,14,iad1,313,2048,,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,01KF3H5PKPJ6JBQV163NX25XF8,i5kd7rJfuWtD,1
2026-01-16 13:47:27,1768571247579,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,500,w75kg-1768571246098-71760f814ef6,vercel-screenshot/1.0,info,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,[33m[WARNING] FRONTEND_URL might be invalid: fantasyluxe.store[0m,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247579,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,500,w75kg-1768571246098-71760f814ef6,vercel-screenshot/1.0,info,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,[32m[SUCCESS] Environment verified successfully (production mode)[0m,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247595,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,500,w75kg-1768571246098-71760f814ef6,vercel-screenshot/1.0,warning,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,CORS blocked for origin: https://fantasy-luxe-frontend-39vcct5et-fortunes-projects-1d583b48.vercel.app,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247596,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,500,w75kg-1768571246098-71760f814ef6,vercel-screenshot/1.0,error,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,Error undefined,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:26,1768571246098,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,500,w75kg-1768571246098-71760f814ef6,vercel-screenshot/1.0,,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,1320,iad1,308,2048,,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,01KF3GZ5HM2Y7ZJ5EXEWE3HJCC,YygjppqsdBHG,1
2026-01-16 13:47:27,1768571247554,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,gkr86-1768571246097-59799454deec,vercel-screenshot/1.0,info,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,[33m[WARNING] FRONTEND_URL might be invalid: fantasyluxe.store[0m,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247554,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,gkr86-1768571246097-59799454deec,vercel-screenshot/1.0,info,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,[32m[SUCCESS] Environment verified successfully (production mode)[0m,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247558,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,gkr86-1768571246097-59799454deec,vercel-screenshot/1.0,warning,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,CORS blocked for origin: https://fantasy-luxe-frontend-39vcct5et-fortunes-projects-1d583b48.vercel.app,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247559,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,gkr86-1768571246097-59799454deec,vercel-screenshot/1.0,error,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,Error undefined,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:26,1768571246097,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,gkr86-1768571246097-59799454deec,vercel-screenshot/1.0,,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,1303,iad1,309,2048,,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,01KF3GZ5HPA8ASQZMBXXSJRSZC,jPgD71M1ZGQx,1
2026-01-16 13:47:27,1768571247368,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,mqfsd-1768571245890-a2ecd97ddbdf,vercel-screenshot/1.0,info,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,[33m[WARNING] FRONTEND_URL might be invalid: fantasyluxe.store[0m,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247368,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,mqfsd-1768571245890-a2ecd97ddbdf,vercel-screenshot/1.0,info,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,[32m[SUCCESS] Environment verified successfully (production mode)[0m,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247372,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,mqfsd-1768571245890-a2ecd97ddbdf,vercel-screenshot/1.0,warning,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,CORS blocked for origin: https://fantasy-luxe-frontend-39vcct5et-fortunes-projects-1d583b48.vercel.app,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247372,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,mqfsd-1768571245890-a2ecd97ddbdf,vercel-screenshot/1.0,error,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,Error undefined,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:25,1768571245890,backend-luxe-123.vercel.app/api/product/list,OPTIONS,,500,mqfsd-1768571245890-a2ecd97ddbdf,vercel-screenshot/1.0,,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,1315,iad1,305,2048,,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,01KF3GZ5B5CA3FYFJDCK3CQRB9,ldpTNzE0Qgi4,1
2026-01-16 13:47:27,1768571247266,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,500,flrxt-1768571245890-29ac1ce2712d,vercel-screenshot/1.0,warning,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,CORS blocked for origin: https://fantasy-luxe-frontend-39vcct5et-fortunes-projects-1d583b48.vercel.app,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247266,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,500,flrxt-1768571245890-29ac1ce2712d,vercel-screenshot/1.0,error,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,Error undefined,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247266,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,500,flrxt-1768571245890-29ac1ce2712d,vercel-screenshot/1.0,info,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,[33m[WARNING] FRONTEND_URL might be invalid: fantasyluxe.store[0m,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:27,1768571247266,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,500,flrxt-1768571245890-29ac1ce2712d,vercel-screenshot/1.0,info,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,,,,,[32m[SUCCESS] Environment verified successfully (production mode)[0m,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,,,
2026-01-16 13:47:25,1768571245890,backend-luxe-123.vercel.app/api/settings/get,OPTIONS,,500,flrxt-1768571245890-29ac1ce2712d,vercel-screenshot/1.0,,production,main,MISS,serverless,/api/index.js,backend-luxe-123.vercel.app,backend-luxe-123.vercel.app,dpl_E7LiwbkSrJhCq6JjpuigntpPJNJq,1213,iad1,305,2048,,prj_usr3OdVGkY2BzT3V1vN4apoPlshj,,,01KF3GZ5B76VK5TBXFW73DSTJ5,fWFXE9TTxWpz,1